264,1,"@user this man ran for governor of ny, the state with the biggest african-american population    #â¦"
265,1,#stereotyping #prejudice  offer no #hope or solutions but create the same old repetitive #hate #conflictâ¦ 
270,1,how many#pols passed by how many times and said nothing?   #bluelivesmatter #draintheswamp  #ferguson  
314,1,7 horribly  ads from #2016 that made us cringe 
322,1,"@user ""the dying of the light""  village green/townÂ²  #antisemitism #hocoschools #columbiamd #hocomd"
333,1,"@user you never answered me about your statement on the #nazi's over #hatred,  &amp; #bigotry being found wâ¦ "
355,1,you might be a libtard if... #libtard  #sjw #liberal #politics 
363,1,trump ny co-chair makes racist remarks about michelle obama  #p2 #p21 #fyi  #tcot
375,1,"@user the pic says otherwise for young girls confined in that kitchen. you are void of meaning, beyond cheap publicity #topoli "
406,1,@user when you're blocked by a  troll because you promise to  #blacklivesmatter &amp; let his nonsensical rants boosâ¦ 
